s22t13 dmee
0.0884432 0.002331 
0.0886094 0.002331 
0.0887757 0.002331 
0.0889422 0.002331 
0.0891088 0.002331 
0.0892756 0.002331 
0.0894425 0.002331 
0.0896095 0.002331 
0.0897767 0.002331 
0.089944 0.002331 
0.0901115 0.002331 
0.0902791 0.002331 
0.0904469 0.002331 
0.0906147 0.002331 
0.0907828 0.002331 
0.0909509 0.002331 
0.0911192 0.002331 
0.0912877 0.002331 
0.0914563 0.002331 
0.091625 0.002331 
0.0917938 0.002331 
0.0919628 0.002331 
0.092132 0.002331 
0.0923013 0.002331 
0.0924707 0.002331 
0.0926402 0.002331 
0.0928099 0.002331 
0.0929798 0.002331 
0.102002 0.002331 
0.102179 0.002331 
0.102357 0.002331 
0.102534 0.002331 
0.102711 0.002331 
0.102889 0.002331 
0.103067 0.002331 
0.103245 0.002331 
0.103423 0.002331 
0.103601 0.002331 
0.10378 0.002331 
0.103958 0.002331 
0.104137 0.002331 
0.104316 0.002331 
0.104494 0.002331 
0.104674 0.002331 
0.104853 0.002331 
0.105032 0.002331 
0.105211 0.002331 
0.105391 0.002331 
0.105571 0.002331 
0.105751 0.002331 
0.105931 0.002331 
0.106111 0.002331 
0.106291 0.002331 
0.106471 0.002331 
0.106652 0.002331 
0.106833 0.002331 
0.107013 0.002331 
0.107194 0.002331 
0.107375 0.002331 
0.107557 0.002331 
0.107738 0.002331 
0.107919 0.002331 
0.108101 0.002331 
0.108283 0.002331 
0.108465 0.002331 
0.108647 0.002331 
0.108829 0.002331 
0.109011 0.002331 
0.109193 0.002331 
0.109376 0.002331 
0.109559 0.002331 
0.109741 0.002331 
0.109924 0.002331 
0.110107 0.002331 
0.110291 0.002331 
0.110474 0.002331 
0.110658 0.002331 
0.110841 0.002331 
0.111025 0.002331 
0.111209 0.002331 
0.111393 0.002331 
0.111577 0.002331 
0.111761 0.002331 
0.111946 0.002331 
0.11213 0.002331 
0.112315 0.002331 
0.1125 0.002331 
0.112685 0.002331 
0.11287 0.002331 
0.113055 0.002331 
0.11324 0.002331 
0.113426 0.002331 
0.113611 0.002331 
0.113797 0.002331 
0.113983 0.002331 
0.114169 0.002331 
0.114355 0.002331 
0.114541 0.002331 
0.114728 0.002331 
0.114914 0.002331 
0.115101 0.002331 
0.115288 0.002331 
0.115475 0.002331 
0.115662 0.002331 
0.115849 0.002331 
0.116036 0.002331 
0.116224 0.002331 
0.116411 0.002331 
0.116599 0.002331 
0.116787 0.002331 
0.116975 0.002331 
0.117163 0.002331 
0.117351 0.002331 
0.117539 0.002331 
0.117728 0.002331 
0.117916 0.002331 
0.118105 0.002331 
0.118294 0.002331 
0.118483 0.002331 
0.118672 0.002331 
0.0756087 0.002334 
0.0757634 0.002334 
0.0759183 0.002334 
0.0760734 0.002334 
0.0762285 0.002334 
0.0763839 0.002334 
0.0765393 0.002334 
0.076695 0.002334 
0.0768507 0.002334 
0.0770066 0.002334 
0.0771627 0.002334 
0.0773189 0.002334 
0.0774752 0.002334 
0.0776317 0.002334 
0.0777884 0.002334 
0.0779452 0.002334 
0.0781021 0.002334 
0.0782591 0.002334 
0.0784164 0.002334 
0.0785737 0.002334 
0.0787312 0.002334 
0.0788889 0.002334 
0.0790466 0.002334 
0.0792046 0.002334 
0.0793627 0.002334 
0.0795209 0.002334 
0.0796792 0.002334 
0.0798378 0.002334 
0.0799964 0.002334 
0.0801552 0.002334 
0.0803141 0.002334 
0.0804732 0.002334 
0.0806325 0.002334 
0.0807918 0.002334 
0.0809513 0.002334 
0.081111 0.002334 
0.0812708 0.002334 
0.0814307 0.002334 
0.0815908 0.002334 
0.0817511 0.002334 
0.0819114 0.002334 
0.082072 0.002334 
0.0822326 0.002334 
0.0823934 0.002334 
0.0825544 0.002334 
0.0827155 0.002334 
0.0828767 0.002334 
0.0830381 0.002334 
0.0831996 0.002334 
0.0833613 0.002334 
0.0835231 0.002334 
0.083685 0.002334 
0.0838471 0.002334 
0.0840093 0.002334 
0.0841717 0.002334 
0.0843342 0.002334 
0.0844969 0.002334 
0.0846597 0.002334 
0.0848226 0.002334 
0.0849857 0.002334 
0.0851489 0.002334 
0.0853123 0.002334 
0.0854758 0.002334 
0.0856395 0.002334 
0.0858032 0.002334 
0.0859672 0.002334 
0.0861313 0.002334 
0.0862955 0.002334 
0.0864598 0.002334 
0.0866243 0.002334 
0.086789 0.002334 
0.0869538 0.002334 
0.0871187 0.002334 
0.0872838 0.002334 
0.087449 0.002334 
0.0876143 0.002334 
0.0877798 0.002334 
0.0879455 0.002334 
0.0881112 0.002334 
0.0882771 0.002334 
0.0884432 0.002334 
0.0886094 0.002334 
0.0887757 0.002334 
0.0889422 0.002334 
0.0891088 0.002334 
0.0892756 0.002334 
0.0894425 0.002334 
0.0896095 0.002334 
0.0897767 0.002334 
0.089944 0.002334 
0.0901115 0.002334 
0.0902791 0.002334 
0.0904469 0.002334 
0.0906147 0.002334 
0.0907828 0.002334 
0.0909509 0.002334 
0.0911192 0.002334 
0.0912877 0.002334 
0.0914563 0.002334 
0.091625 0.002334 
0.0917938 0.002334 
0.0919628 0.002334 
0.092132 0.002334 
0.102711 0.002334 
0.102889 0.002334 
0.103067 0.002334 
0.103245 0.002334 
0.103423 0.002334 
0.103601 0.002334 
0.10378 0.002334 
0.103958 0.002334 
0.104137 0.002334 
0.104316 0.002334 
0.104494 0.002334 
0.104674 0.002334 
0.104853 0.002334 
0.105032 0.002334 
0.105211 0.002334 
0.105391 0.002334 
0.105571 0.002334 
0.105751 0.002334 
0.105931 0.002334 
0.106111 0.002334 
0.106291 0.002334 
0.106471 0.002334 
0.106652 0.002334 
0.106833 0.002334 
0.107013 0.002334 
0.107194 0.002334 
0.107375 0.002334 
0.107557 0.002334 
0.107738 0.002334 
0.107919 0.002334 
0.108101 0.002334 
0.108283 0.002334 
0.108465 0.002334 
0.108647 0.002334 
0.108829 0.002334 
0.109011 0.002334 
0.109193 0.002334 
0.109376 0.002334 
0.109559 0.002334 
0.109741 0.002334 
0.109924 0.002334 
0.110107 0.002334 
0.110291 0.002334 
0.110474 0.002334 
0.110658 0.002334 
0.110841 0.002334 
0.111025 0.002334 
0.111209 0.002334 
0.111393 0.002334 
0.111577 0.002334 
0.111761 0.002334 
0.111946 0.002334 
0.11213 0.002334 
0.112315 0.002334 
0.1125 0.002334 
0.112685 0.002334 
0.11287 0.002334 
0.113055 0.002334 
0.11324 0.002334 
0.113426 0.002334 
0.113611 0.002334 
0.113797 0.002334 
0.113983 0.002334 
0.114169 0.002334 
0.114355 0.002334 
0.114541 0.002334 
